                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66149,                0.57558,                0.84936,                0.90787,                 0.8301,                0.89135,                0.54829,                0.65936,                0.55229,                0.84089,                0.00769,                0.00769,                0.00769
                     37,                0.66308,                0.57611,                0.84637,                0.87336,                0.83257,                0.87072,                0.53182,                0.67598,                0.57882,                0.84324,               0.007624,               0.007624,               0.007624
                     38,                 0.6675,                0.57617,                0.84812,                0.93124,                0.82327,                0.90755,                0.53772,                 0.6775,                0.57288,                0.84138,               0.007558,               0.007558,               0.007558
                     39,                0.66894,                0.57635,                0.84619,                0.86797,                0.85008,                0.88829,                0.54024,                 0.6705,                0.57533,                0.83935,               0.007492,               0.007492,               0.007492
                     40,                0.67302,                0.57307,                0.84683,                0.91563,                0.83412,                0.89078,                0.53627,                0.67223,                0.56433,                0.83885,               0.007426,               0.007426,               0.007426
                     41,                0.66626,                0.56899,                0.84507,                0.94486,                0.82249,                0.90295,                0.54284,                0.66287,                0.55738,                0.83337,                0.00736,                0.00736,                0.00736
                     42,                0.66827,                0.56446,                0.84519,                0.87246,                0.87041,                0.89422,                0.53203,                0.67204,                0.56757,                0.83652,               0.007294,               0.007294,               0.007294
                     43,                0.68827,                0.56532,                0.84315,                0.90409,                  0.842,                0.91136,                0.53787,                 0.6889,                0.56342,                0.83703,               0.007228,               0.007228,               0.007228
                     44,                0.69089,                0.57121,                0.84745,                0.86046,                0.83694,                0.87558,                0.52255,                0.69982,                 0.5531,                0.83707,               0.007162,               0.007162,               0.007162
                     45,                0.68492,                0.56376,                0.84391,                 0.8685,                  0.856,                0.86409,                  0.525,                 0.6875,                0.56714,                0.83613,               0.007096,               0.007096,               0.007096
                     46,                0.68845,                0.56234,                0.84875,                0.90634,                0.88469,                  0.921,                0.55296,                0.70201,                0.55293,                0.83954,                0.00703,                0.00703,                0.00703
